Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,doi,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,ave3,ave5
Childhood Growth Trajectories According to Combinations of Pregestational Weight Status and Maternal Smoking during Pregnancy: A Multilevel Analysis,"Suzuki, Kohta; Sato, Miri; Zheng, Wei; Shinohara, Ryoji; Yokomichi, Hiroshi; Yamagata, Zentaro",PLOS ONE,FEB 13 2015,2015,10,2,,,e0118538,10.1371/journal.pone.0118538,,,10,1.11,0,0,0,0,0,0,0,1,0,3,1,2,1,2,0,0.333333333,1
Adult-onset inflammatory myofibroblastic tumour of the stomach with a TFG-ROS1 fusion,"Fujita, Hiromi; Yoshida, Akihiko; Taniguchi, Hirokazu; Katai, Hitoshi; Sekine, Shigeki",HISTOPATHOLOGY,MAR 2015,2015,66,4,610,612,,10.1111/his.12575,,,8,0.89,0,0,0,0,0,0,0,4,1,0,1,0,2,0,0,1.666666667,1.2
"Effect of temperature, hypoxia and disinfection with ozonated seawater during somitogenesis on muscular development of the trunk in larval seven-band grouper, Epinephelus septemfasciatus (Thunberg)","Uji, Susumu; Suzuki, Tohru; Iwasaki, Takashi; Teruya, Kazuhisa; Hirasawa, Keiichi; Shirakashi, Makoto; Onoue, Shizumasa; Yamashita, Yoichi; Tsuji, Masaharu; Tsuchihashi, Yasushi; Okuzawa, Koichi",AQUACULTURE RESEARCH,NOV 2015,2015,46,11,2698,2706,,10.1111/are.12425,,,5,0.56,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0.666666667,0.6
A hyperactive piggyBac transposon system is an easy-to-implement method for introducing foreign genes into mouse preimplantation embryos,"Suzuki, Shinnosuke; Tsukiyama, Tomoyuki; Kaneko, Takehito; Imai, Hiroshi; Minami, Naojiro",JOURNAL OF REPRODUCTION AND DEVELOPMENT,JUN 2015,2015,61,3,241,244,,10.1262/jrd.2014-157,,,4,0.44,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0.666666667,0.4
Magnitude of perceived depth of multiple stereo transparent surfaces,"Aida, Saori; Shimono, Koichi; Tam, Wa James",ATTENTION PERCEPTION & PSYCHOPHYSICS,JAN 2015,2015,77,1,190,206,,10.3758/s13414-014-0746-8,,,1,0.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fast calculation method of a CGH for a patch model using a point-based method,"Ogihara, Y.; Sakamoto, Y.",APPLIED OPTICS,JAN 1 2015,2015,54,1,A76,A83,,10.1364/AO.54.000A76,OSA Topical Meeting on Digital Holography and 3D Imaging (DH),"JUL 13-17, 2014",38,4.22,0,0,0,0,0,0,1,5,7,7,5,6,3,4,0,4.333333333,5
Functional morphology of the Alligator mississippiensis larynx with implications for vocal production,"Riede, Tobias; Li, Zhiheng; Tokuda, Isao T.; Farmer, Colleen G.",JOURNAL OF EXPERIMENTAL BIOLOGY,APR 2015,2015,218,7,991,998,,10.1242/jeb.117101,,,24,2.67,0,0,0,0,0,0,4,3,3,3,4,4,1,1,1,3.333333333,3.4
THE TRANSIENT ACCRETING X-RAY PULSAR XTE J1946+274: STABILITY OF X-RAY PROPERTIES AT LOW FLUX AND UPDATED ORBITAL SOLUTION,"Marcu-Cheatham, Diana M.; Pottschmidt, Katja; Kuehnel, Matthias; Mueller, Sebastian; Falkner, Sebastian; Caballero, Isabel; Finger, Mark H.; Jenke, Peter J.; Wilson-Hodge, Colleen A.; Fuerst, Felix; Grinberg, Victoria; Hemphill, Paul B.; Kreykenbohm, Ingo; Klochkov, Dmitry; Rothschild, Richard E.; Terada, Yukikatsu; Enoto, Teruaki; Iwakiri, Wataru; Wolff, Michael T.; Becker, Peter A.; Wood, Kent S.; Wilms, Joern",ASTROPHYSICAL JOURNAL,DEC 10 2015,2015,815,1,,,44,10.1088/0004-637X/815/1/44,,,12,1.33,0,0,0,0,0,0,0,0,5,1,2,1,3,0,0,1.666666667,1.6
Employment status among non-retired cancer survivors in Japan,"Ito, H.; Hozawa, A.; Yamashita, H.; Kubota, I.; Nemoto, K.; Yoshioka, T.; Kayama, T.; Murakami, M.",EUROPEAN JOURNAL OF CANCER CARE,SEP 2015,2015,24,5,718,723,,10.1111/ecc.12304,,,10,1.11,0,0,0,0,0,0,0,1,0,2,2,0,3,2,0,0.333333333,1
Instability of a ferrimagnetic state of a frustrated S=1/2 Heisenberg antiferromagnet in two dimensions,"Nakano, Hiroki; Sakai, Toru",JAPANESE JOURNAL OF APPLIED PHYSICS,MAR 2015,2015,54,3,,,30305,10.7567/JJAP.54.030305,,,10,1.11,0,0,0,0,0,0,3,0,1,5,0,0,0,1,0,1.333333333,1.8
Response of accommodation and vergence to electro-holographic images,"Ohara, Ryuichi; Kurita, Masanobu; Yoneyama, Takuo; Okuyama, Fumio; Sakamoto, Yuji",APPLIED OPTICS,FEB 1 2015,2015,54,4,615,621,,10.1364/AO.54.000615,,,9,1,0,0,0,0,0,0,0,0,2,0,2,0,2,3,0,0.666666667,0.8
Fourth-order dispersive systems on the one-dimensional torus,"Chihara, Hiroyuki",JOURNAL OF PSEUDO-DIFFERENTIAL OPERATORS AND APPLICATIONS,JUN 2015,2015,6,2,237,263,,10.1007/s11868-015-0112-1,,,5,0.56,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0.666666667,0.6
A Fourth-Order Dispersive Flow into Kahler Manifolds,"Chihara, Hiroyuki; Onodera, Eiji",ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN,2015,2015,34,2,221,249,,10.4171/ZAA/1537,,,5,0.56,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0.666666667,0.6
Extremal Type I Z(k)-Codes and k-Frames of Odd Unimodular Lattices,"Harada, Masaaki",IEEE TRANSACTIONS ON INFORMATION THEORY,JAN 2015,2015,61,1,72,81,,10.1109/TIT.2014.2368563,,,4,0.44,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.333333333,0.4
On a 5-design related to a putative extremal doubly even self-dual code of length a multiple of 24,"Harada, Masaaki",DESIGNS CODES AND CRYPTOGRAPHY,SEP 2015,2015,76,3,373,384,,10.1007/s10623-014-9963-3,,,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2
Asporin activates coordinated invasion of scirrhous gastric cancer and cancer-associated fibroblasts,"Satoyoshi, R.; Kuriyama, S.; Aiba, N.; Yashiro, M.; Tanaka, M.",ONCOGENE,JAN 29 2015,2015,34,5,650,660,,10.1038/onc.2013.584,,,70,7.78,0,0,0,0,0,0,8,13,7,6,9,4,14,9,0,9.333333333,8.6
The Ratcheted and Ratchetable Structural States of RNA Polymerase Underlie Multiple Transcriptional Functions,"Sekine, Shun-ichi; Murayama, Yuko; Svetlov, Vladimir; Nudler, Evgeny; Yokoyama, Shigeyuki",MOLECULAR CELL,FEB 5 2015,2015,57,3,408,421,,10.1016/j.molcel.2014.12.014,,,62,6.89,0,0,0,0,0,0,5,12,12,10,11,5,4,3,0,9.666666667,10
A novel growth model evaluating age-size effect on long-term trends in tree growth,"Matsushita, Michinari; Takata, Katsuhiko; Hitsuma, Gaku; Yagihashi, Tsutomu; Noguchi, Mahoko; Shibata, Mitsue; Masaki, Takashi",FUNCTIONAL ECOLOGY,OCT 2015,2015,29,10,1250,1259,,10.1111/1365-2435.12416,,,27,3,0,0,0,0,0,0,0,0,3,3,3,5,10,2,1,1,1.8
Comparison of regional gray matter volume abnormalities in Alzheimer's disease and late life depression with hippocampal atrophy using VSRAD analysis: A voxel-based morphometry study,"Shimoda, Kengo; Kimura, Mahito; Yokota, Masami; Okubo, Yoshiro",PSYCHIATRY RESEARCH-NEUROIMAGING,APR 30 2015,2015,232,1,71,75,,10.1016/j.pscychresns.2015.01.018,,,27,3,0,0,0,0,0,0,1,3,4,6,3,4,4,2,0,2.666666667,3.4
Rapid immunohistochemistry based on alternating current electric field for intraoperative diagnosis of brain tumors,"Tanino, Mishie; Sasajima, Toshio; Nanjo, Hiroshi; Akesaka, Shiori; Kagaya, Masami; Kimura, Taichi; Ishida, Yusuke; Oda, Masaya; Takahashi, Masataka; Sugawara, Taku; Yoshioka, Toshiaki; Nishihara, Hiroshi; Akagami, Yoichi; Goto, Akiteru; Minamiya, Yoshihiro; Tanaka, Shinya",BRAIN TUMOR PATHOLOGY,JAN 2015,2015,32,1,12,19,,10.1007/s10014-014-0188-y,32nd Annual Meeting of the Japan Society of Brain Tumor Pathology,"MAY 23-24, 2014",26,2.89,0,0,0,0,0,0,3,4,6,1,3,3,3,3,0,4.333333333,3.4
Torus knots and quantum modular forms,"Hikami, Kazuhiro; Lovejoy, Jeremy",RESEARCH IN THE MATHEMATICAL SCIENCES,DEC 2015,2015,2,1,,,2,10.1186/s40687-014-0016-3,,,24,2.67,0,0,0,0,0,0,1,2,4,2,4,5,2,4,0,2.333333333,2.6
Amyloid imaging with [F-18]florbetapir in geriatric depression: early-onset versus late-onset,"Tateno, Amane; Sakayori, Takeshi; Higuchi, Makoto; Suhara, Tetsuya; Ishihara, Keiichi; Kumita, Shinichiro; Suzuki, Hidenori; Okubo, Yoshiro",INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,JUL 2015,2015,30,7,720,728,,10.1002/gps.4215,,,21,2.33,0,0,0,0,0,0,1,3,3,2,4,2,4,2,0,2.333333333,2.6
Functional expression of L-lysine alpha-oxidase from Scomber japonicus in Escherichia coli for one-pot synthesis of L-pipecolic acid from DL-lysine,"Tani, Yasushi; Miyake, Ryoma; Yukami, Ryoichi; Dekishima, Yasumasa; China, Hideyasu; Saito, Shigeki; Kawabata, Hiroshi; Mihara, Hisaaki",APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,JUN 2015,2015,99,12,5045,5054,,10.1007/s00253-014-6308-0,,,21,2.33,0,0,0,0,0,0,0,2,2,5,1,4,1,5,1,1.333333333,2
Comparison of imaging biomarkers for Alzheimer's disease: amyloid imaging with [F-18]florbetapir positron emission tomography and magnetic resonance imaging voxel-based analysis for entorhinal cortex atrophy,"Tateno, Amane; Sakayori, Takeshi; Kawashima, Yoshitaka; Higuchi, Makoto; Suhara, Tetsuya; Mizumura, Sunao; Mintun, Mark A.; Skovronsky, Daniel M.; Honjo, Kazuyoshi; Ishihara, Keiichi; Kumita, Shinichiro; Suzuki, Hidenori; Okubo, Yoshiro",INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,MAY 2015,2015,30,5,505,513,,10.1002/gps.4173,,,16,1.78,0,0,0,0,0,0,2,4,3,2,2,1,1,1,0,3,2.6
"Taxonomy and evolution of putative thelytokous species of Leptopilina (Hymenoptera: Figitidae) from Japan, with description of two new species","Wachi, Nakatada; Nomano, Fumiaki Y.; Mitsui, Hideyuki; Kasuya, Nazuki; Kimura, Masahito T.",ENTOMOLOGICAL SCIENCE,JAN 2015,2015,18,1,41,54,,10.1111/ens.12089,,,14,1.56,0,0,0,0,0,0,1,2,0,3,2,4,1,0,1,1,1.6
The Optimal Use of Rate-Limited Randomness in Broadcast Channels With Confidential Messages,"Watanabe, Shun; Oohama, Yasutada",IEEE TRANSACTIONS ON INFORMATION THEORY,FEB 2015,2015,61,2,983,995,,10.1109/TIT.2014.2382096,,,10,1.11,0,0,0,0,0,0,0,1,2,1,3,2,1,0,0,1,1.4
"The noradrenaline metabolite MHPG is a candidate biomarker between the depressive, remission, and manic states in bipolar disorder I: two long-term naturalistic case reports","Kurita, Masatake; Nishino, Satoshi; Numata, Yukio; Okubo, Yoshiro; Sato, Tadahiro",NEUROPSYCHIATRIC DISEASE AND TREATMENT,2015,2015,11,,353,358,,10.2147/NDT.S74550,,,10,1.11,0,0,0,0,0,0,0,3,0,0,1,2,3,1,0,1,0.8
Differences in female reproductive success between female and hermaphrodite individuals in the subdioecious shrub Eurya japonica (Theaceae),"Wang, H.; Matsushita, M.; Tomaru, N.; Nakagawa, M.",PLANT BIOLOGY,JAN 2015,2015,17,1,194,200,,10.1111/plb.12189,,,8,0.89,0,0,0,0,0,0,0,1,3,2,0,0,1,1,0,1.333333333,1.2
Heterologous expression of L-lysine alpha-oxidase from Scomber japonicus in Pichia pastoris and functional characterization of the recombinant enzyme,"Tani, Yasushi; Omatsu, Koichiro; Saito, Shigeki; Miyake, Ryoma; Kawabata, Hiroshi; Ueda, Makoto; Mihara, Hisaaki",JOURNAL OF BIOCHEMISTRY,APR 2015,2015,157,4,201,210,,10.1093/jb/mvu064,,,7,0.78,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0.4
Adsorptivity of various metal ions onto benzo-18-crown-6 and dibenzo-18-crown-6 resins,"Nogami, Masanobu; Haratani, Tomohiro; Tachibana, Yu; Kaneshiki, Toshitaka; Nomura, Masao; Suzuki, Tatsuya",JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,FEB 2015,2015,303,2,1549,1553,,10.1007/s10967-014-3555-6,,,7,0.78,0,0,0,0,0,0,0,1,2,0,1,1,1,1,0,1,0.8
A case of Alzheimer's disease following mild traumatic brain injury,"Tateno, Amane; Sakayori, Takeshi; Takizawa, Yuichi; Yamamoto, Ken; Minagawa, Kaoru; Okubo, Yoshiro",GENERAL HOSPITAL PSYCHIATRY,JAN-FEB 2015,2015,37,1,,,,10.1016/j.genhosppsych.2014.09.016,,,7,0.78,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0.333333333,0.8
Effect of alcohols on separation behavior of rare earth elements using benzimidazole-type anion-exchange resin in nitric acid solutions,"Tomobuchi, Yusuke; Tachibana, Yu; Nomura, Masao; Suzuki, Tatsuya",JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,FEB 2015,2015,303,2,1425,1428,,10.1007/s10967-014-3509-z,,,6,0.67,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,1,0.8
Time-Resolved Raman and Polyacrylamide Gel Electrophoresis Observations of Nucleotide Incorporation and Misincorporation in RNA within a Bacterial RNA Polymerase Crystal,"Antonopoulos, Ioanna H.; Murayama, Yuko; Warner, Brittany A.; Sekine, Shun-ichi; Yokoyama, Shigeyuki; Carey, Paul R.",BIOCHEMISTRY,JAN 27 2015,2015,54,3,652,665,,10.1021/bi501166r,,,6,0.67,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,1,1
Purification and Properties of Glycine Oxidase from Pseudomonas putida KT2440,"Equar, Messele Yohannes; Tani, Yasushi; Mihara, Hisaaki",JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,DEC 2015,2015,61,6,506,510,,10.3177/jnsv.61.506,,,5,0.56,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0.4
Massively Parallel MP2-F12 Calculations on the K Computer,"Ohnishi, Yu-ya; Ishimura, Kazuya; Ten-no, Seiichiro",INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,MAR 5 2015,2015,115,5,333,341,,10.1002/qua.24819,,,5,0.56,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1.666666667,1
Dispersion of Rayleigh waves in vertically-inhomogeneous prestressed elastic media,"Man, Chi-Sing; Nakamura, Gen; Tanuma, Kazumi; Wang, Shengzhang",IMA JOURNAL OF APPLIED MATHEMATICS,FEB 2015,2015,80,1,47,84,,10.1093/imamat/hxt025,,,5,0.56,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0.666666667,0.6
Inter-specific and sexual differences in architectural traits of two dioecious Lindera species (Lauraceae),"Nakagawa, Michiko; Isogimi, Tomohiro; Inanaga, Michiko; Abe, Kosei; Okada, Tomoya; Yoichi, Watanabe; Kobayakawa, Koji; Toyama, Chikage; Ito, Keisuke; Kawashima, Naomichi; Otani, Kanae; Hori, Megumi; Tani, Saori; Higuchi, Keigo; Asano, Iku; Kawahara, Kazuma; Yamauchi, Ayaka; Kato, Daisuke; Matsushita, Michinari",PLANT ECOLOGY,JAN 2015,2015,216,1,99,109,,10.1007/s11258-014-0419-7,,,4,0.44,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0.333333333,0.6
Family-specific responses in survivorship and phenotypic traits to different light environments in a seedling population of Fagus crenata in a cool-temperate forest,"Torimaru, Takeshi; Takeda, Yuichi; Matsushita, Michinari; Tamaki, Ichiro; Sano, Junji; Tomaru, Nobuhiro",POPULATION ECOLOGY,JAN 2015,2015,57,1,77,91,,10.1007/s10144-014-0462-1,,,4,0.44,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0.333333333,0.6
On Two Strong Converse Theorems for Discrete Memoryless Channels,"Oohama, Yasutada",IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,DEC 2015,2015,E98A,12,2471,2475,,10.1587/transfun.E98.A.2471,37th Symposium on Information Theory and Its Applications (SITA),"DEC 09-12, 2014",3,0.33,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.333333333,0.4
Fatty acid content in muscles of amago salmon homozygous or heterozygous for a growth hormone transgene,"Sugiyama, Manabu; Takenaga, Fumio; Okamoto, Hiroyuki; Masaoka, Tetsuji; Araki, Kazuo; Nagoya, Hiroyuki; Mori, Tsukasa",AQUACULTURE,JAN 1 2015,2015,435,,377,380,,10.1016/j.aquaculture.2014.10.020,,,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Application of atmospheric-pressure non-thermal plasma to chlorination of hardly soluble materials,"Kitagaki, Toru; Suzuki, Tatsuya; Kaneshiki, Toshitaka; Nomura, Masao",PROGRESS IN NUCLEAR ENERGY,JUL 2015,2015,82,,122,125,,10.1016/j.pnucene.2014.07.039,4th International Symposium on Innovative Nuclear Energy Systems (INES-4),"NOV 06-08, 2013",1,0.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.2
Gaussian CEO Problem in the Case of Scalar Source and Vector Observations,"Oohama, Yasutada",IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,DEC 2015,2015,E98A,12,2367,2375,,10.1587/transfun.E98.A.2367,37th Symposium on Information Theory and Its Applications (SITA),"DEC 09-12, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antibody fragment-conjugated polymeric micelles incorporating platinum drugs for targeted therapy of pancreatic cancer,"Ahn, Jooyeon; Miura, Yutaka; Yamada, Naoki; Chida, Tsukasa; Liu, Xueying; Kim, Ahram; Sato, Ryuta; Tsumura, Ryo; Koga, Yoshikatsu; Yasunaga, Masahiro; Nishiyama, Nobuhiro; Matsumura, Yasuhiro; Cabral, Horacio; Kataoka, Kazunori",BIOMATERIALS,JAN 2015,2015,39,,23,30,,10.1016/j.biomaterials.2014.10.069,,,105,11.67,0,0,0,0,0,0,8,17,22,12,10,17,12,6,1,15.66666667,13.8
Intracellular and in Vivo Oxygen Sensing Using Phosphorescent Ir(III) Complexes with a Modified Acetylacetonato Ligand,"Yoshihara, Toshitada; Hosaka, Masahiro; Terata, Motoki; Ichikawa, Kazuki; Murayama, Saori; Tanaka, Asami; Mori, Masanobu; Itabashi, Hideyuki; Takeuchi, Toshiyuki; Tobita, Seiji",ANALYTICAL CHEMISTRY,MAR 3 2015,2015,87,5,2710,2717,,10.1021/ac5040067,,,59,6.56,0,0,0,0,0,0,3,8,10,13,6,8,7,4,0,7,8
Sound Symbolism Facilitates Word Learning in 14-Month-Olds,"Imai, Mutsumi; Miyazaki, Michiko; Yeung, H. Henny; Hidaka, Shohei; Kantartzis, Katerina; Okada, Hiroyuki; Kita, Sotaro",PLOS ONE,FEB 19 2015,2015,10,2,,,e0116494,10.1371/journal.pone.0116494,,,39,4.33,0,0,0,0,0,0,0,2,8,8,5,7,3,6,0,3.333333333,4.6
Redefining the In Vivo Origin of Metanephric Nephron Progenitors Enables Generation of Complex Kidney Structures from Pluripotent Stem Cells,"Taguchi, Atsuhiro; Kaku, Yusuke; Ohmori, Tomoko; Sharmin, Sazia; Ogawa, Minetaro; Sasaki, Hiroshi; Nishinakamura, Ryuichi",CELL STEM CELL,JAN 2 2014,2014,14,1,53,67,,10.1016/j.stem.2013.11.010,,,493,49.3,0,0,0,0,0,20,50,43,59,52,71,62,63,71,2,37.66666667,44.8
Which is a better predictor of plant traits: temperature or precipitation?,"Moles, Angela T.; Perkins, Sarah E.; Laffan, Shawn W.; Flores-Moreno, Habacuc; Awasthy, Monica; Tindall, Marianne L.; Sack, Lawren; Pitman, Andy; Kattge, Jens; Aarssen, Lonnie W.; Anand, Madhur; Bahn, Michael; Blonder, Benjamin; Cavender-Bares, Jeannine; Cornelissen, J. Hans C.; Cornwell, Will K.; Diaz, Sandra; Dickie, John B.; Freschet, Gregoire T.; Griffiths, Joshua G.; Gutierrez, Alvaro G.; Hemmings, Frank A.; Hickler, Thomas; Hitchcock, Timothy D.; Keighery, Matthew; Kleyer, Michael; Kurokawa, Hiroko; Leishman, Michelle R.; Liu, Kenwin; Niinemets, Uelo; Onipchenko, Vladimir; Onoda, Yusuke; Penuelas, Josep; Pillar, Valerio D.; Reich, Peter B.; Shiodera, Satomi; Siefert, Andrew; Sosinski, Enio E., Jr.; Soudzilovskaia, Nadejda A.; Swaine, Emily K.; Swenson, Nathan G.; van Bodegom, Peter M.; Warman, Laura; Weiher, Evan; Wright, Ian J.; Zhang, Hongxiang; Zobel, Martin; Bonser, Stephen P.",JOURNAL OF VEGETATION SCIENCE,SEP 2014,2014,25,5,1167,1180,,10.1111/jvs.12190,,,255,25.5,0,0,0,0,0,2,12,22,32,31,36,34,41,44,1,12,19.8
Multiple Phenotypes in Phosphoglucomutase 1 Deficiency,"Tegtmeyer, L. C.; Rust, S.; van Scherpenzeel, M.; Ng, B. G.; Losfeld, M. -E.; Timal, S.; Raymond, K.; He, P.; Ichikawa, M.; Veltman, J.; Huijben, K.; Shin, Y. S.; Sharma, V.; Adamowicz, M.; Lammens, M.; Reunert, J.; Witten, A.; Schrapers, E.; Matthijs, G.; Jaeken, J.; Rymen, D.; Stojkovic, T.; Laforet, P.; Petit, F.; Aumaitre, O.; Czarnowska, E.; Piraud, M.; Podskarbi, T.; Stanley, C. A.; Matalon, R.; Burda, P.; Seyyedi, S.; Debus, V.; Socha, P.; Sykut-Cegielska, J.; van Spronsen, F.; de Meirleir, L.; Vajro, P.; DeClue, T.; Ficicioglu, C.; Wada, Y.; Wevers, R. A.; Vanderschaeghe, D.; Callewaert, N.; Fingerhut, R.; van Schaftingen, E.; Freeze, H. H.; Morava, E.; Lefeber, D. J.; Marquardt, T.",NEW ENGLAND JOURNAL OF MEDICINE,FEB 6 2014,2014,370,6,533,542,,10.1056/NEJMoa1206605,,,185,18.5,0,0,0,0,0,12,22,17,24,24,29,18,22,16,1,17,19.8
The Immune Receptor NOD1 and Kinase RIP2 Interact with Bacterial Peptidoglycan on Early Endosomes to Promote Autophagy and Inflammatory Signaling,"Irving, Aaron T.; Mimuro, Hitomi; Kufer, Thomas A.; Lo, Camden; Wheeler, Richard; Turner, Lorinda J.; Thomas, Belinda J.; Malosse, Christian; Gantier, Michael P.; Casillas, Linda N.; Votta, Bartholomew J.; Bertin, John; Boneca, Ivo G.; Sasakawa, Chihiro; Philpott, Dana J.; Ferrero, Richard L.; Kaparakis-Liaskos, Maria",CELL HOST & MICROBE,MAY 14 2014,2014,15,5,623,635,,10.1016/j.chom.2014.04.001,,,151,15.1,0,0,0,0,0,6,15,15,21,23,15,16,23,17,0,12,16
Nrf2 Protects Pancreatic beta-Cells From Oxidative and Nitrosative Stress in Diabetic Model Mice,"Yagishita, Yoko; Fukutomi, Toshiaki; Sugawara, Akira; Kawamura, Hiroshi; Takahashi, Tetsu; Pi, Jingbo; Uruno, Akira; Yamamoto, Masayuki",DIABETES,FEB 2014,2014,63,2,605,618,,10.2337/db13-0909,,,132,13.2,0,0,0,0,0,8,14,14,11,21,15,14,17,17,1,12,13.6
Porphyromonas gingivalis promotes invasion of oral squamous cell carcinoma through induction of proMMP9 and its activation,"Inaba, Hiroaki; Sugita, Hideyuki; Kuboniwa, Masae; Iwai, Soichi; Hamada, Masakazu; Noda, Takeshi; Morisaki, Ichijiro; Lamont, Richard J.; Amano, Atsuo",CELLULAR MICROBIOLOGY,JAN 2014,2014,16,1,131,145,,10.1111/cmi.12211,,,128,12.8,0,0,0,0,0,3,7,10,10,8,23,19,21,26,1,6.666666667,7.6
Chromatin as dynamic 10-nm fibers,"Maeshima, Kazuhiro; Imai, Ryosuke; Tamura, Sachiko; Nozaki, Tadasu",CHROMOSOMA,JUN 2014,2014,123,3,225,237,,10.1007/s00412-014-0460-2,,,123,12.3,0,0,0,0,0,2,21,24,15,14,13,15,13,6,0,15.66666667,15.2
Systemic Resistance Induced by Volatile Organic Compounds Emitted by Plant Growth-Promoting Fungi in Arabidopsis thaliana,"Naznin, Hushna Ara; Kiyohara, Daigo; Kimura, Minako; Miyazawa, Mitsuo; Shimizu, Masafumi; Hyakumachi, Mitsuro",PLOS ONE,JAN 27 2014,2014,9,1,,,e86882,10.1371/journal.pone.0086882,,,104,10.4,0,0,0,0,0,0,9,4,7,10,15,20,21,14,4,4.333333333,6
Human Adipose Tissue Possesses a Unique Population of Pluripotent Stem Cells with Nontumorigenic and Low Telomerase Activities: Potential Implications in Regenerative Medicine,"Ogura, Fumitaka; Wakao, Shohei; Kuroda, Yasumasa; Tsuchiyama, Kenichiro; Bagheri, Mozhdeh; Heneidi, Saleh; Chazenbalk, Gregorio; Aiba, Setsuya; Dezawa, Mari",STEM CELLS AND DEVELOPMENT,APR 1 2014,2014,23,7,717,728,,10.1089/scd.2013.0473,,,101,10.1,0,0,0,0,0,7,12,17,12,14,8,10,11,9,1,12,12.4
"A Novel Protein, CHRONO, Functions as a Core Component of the Mammalian Circadian Clock","Goriki, Akihiro; Hatanaka, Fumiyuki; Myung, Jihwan; Kim, Jae Kyoung; Yoritaka, Takashi; Tanoue, Shintaro; Abe, Takaya; Kiyonari, Hiroshi; Fujimoto, Katsumi; Kato, Yukio; Todo, Takashi; Matsubara, Akio; Forger, Daniel; Takumi, Toru",PLOS BIOLOGY,APR 2014,2014,12,4,,,e1001839,10.1371/journal.pbio.1001839,,,86,8.6,0,0,0,0,0,2,8,7,16,6,7,15,10,13,2,5.666666667,7.8
Temporal profile of the vascular anatomy evaluated by 9.4-T magnetic resonance angiography and histopathological analysis in mice lacking RNF213: A susceptibility gene for moyamoya disease,"Sonobe, Shinya; Fujimura, Miki; Niizuma, Kuniyasu; Nishijima, Yasuo; Ito, Akira; Shimizu, Hiroaki; Kikuchi, Atsuo; Arai-Ichinoi, Natsuko; Kure, Shigeo; Tominaga, Teiji",BRAIN RESEARCH,MAR 13 2014,2014,1552,,64,71,,10.1016/j.brainres.2014.01.011,,,74,7.4,0,0,0,0,0,2,13,11,12,8,6,6,10,5,1,8.666666667,9.2
PHLDA3 is a novel tumor suppressor of pancreatic neuroendocrine tumors,"Ohki, Rieko; Saito, Kozue; Chen, Yu; Kawase, Tatsuya; Hiraoka, Nobuyoshi; Saigawa, Raira; Minegishi, Maiko; Aita, Yukie; Yanai, Goichi; Shimizu, Hiroko; Yachida, Shinichi; Sakata, Naoaki; Doi, Ryuichiro; Kosuge, Tomoo; Shimada, Kazuaki; Tycko, Benjamin; Tsukada, Toshihiko; Kanai, Yae; Sumi, Shoichiro; Namiki, Hideo; Taya, Yoichi; Shibata, Tatsuhiro; Nakagama, Hitoshi",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,JUN 10 2014,2014,111,23,E2404,E2413,,10.1073/pnas.1319962111,,,69,6.9,0,0,0,0,0,0,9,8,10,6,9,9,12,5,1,5.666666667,6.6
